workstation_id,zone_classification,base_hourly_rate,ip_address,mac_address,commissioned_date
PC-001,Standard Zone,50.00,10.10.1.1,00:1A:2B:3C:01:01,2025-11-15
PC-002,Standard Zone,50.00,10.10.1.2,00:1A:2B:3C:01:02,2025-11-15
PC-003,Standard Zone,50.00,10.10.1.3,00:1A:2B:3C:01:03,2025-11-15
PC-004,Standard Zone,50.00,10.10.1.4,00:1A:2B:3C:01:04,2025-11-15
PC-005,Standard Zone,50.00,10.10.1.5,00:1A:2B:3C:01:05,2025-11-15
PC-006,Standard Zone,50.00,10.10.1.6,00:1A:2B:3C:01:06,2025-11-15
PC-007,Standard Zone,50.00,10.10.1.7,00:1A:2B:3C:01:07,2025-11-15
PC-008,Standard Zone,50.00,10.10.1.8,00:1A:2B:3C:01:08,2025-11-15
PC-009,Standard Zone,50.00,10.10.1.9,00:1A:2B:3C:01:09,2025-11-15
PC-010,Standard Zone,50.00,10.10.1.10,00:1A:2B:3C:01:0A,2025-11-15
PC-011,Standard Zone,50.00,10.10.1.11,00:1A:2B:3C:01:0B,2025-11-15
PC-012,Standard Zone,50.00,10.10.1.12,00:1A:2B:3C:01:0C,2025-11-15
PC-013,Standard Zone,50.00,10.10.1.13,00:1A:2B:3C:01:0D,2025-11-15
PC-014,Standard Zone,50.00,10.10.1.14,00:1A:2B:3C:01:0E,2025-11-15
PC-015,Standard Zone,50.00,10.10.1.15,00:1A:2B:3C:01:0F,2025-11-15
PC-016,Standard Zone,50.00,10.10.1.16,00:1A:2B:3C:01:10,2025-11-15
PC-017,Standard Zone,50.00,10.10.1.17,00:1A:2B:3C:01:11,2025-11-15
PC-018,Standard Zone,50.00,10.10.1.18,00:1A:2B:3C:01:12,2025-11-15
PC-019,Standard Zone,50.00,10.10.1.19,00:1A:2B:3C:01:13,2025-11-15
PC-020,Standard Zone,50.00,10.10.1.20,00:1A:2B:3C:01:14,2025-11-15
PC-021,Standard Zone,50.00,10.10.1.21,00:1A:2B:3C:01:15,2025-11-15
PC-022,Standard Zone,50.00,10.10.1.22,00:1A:2B:3C:01:16,2025-11-15
PC-023,Standard Zone,50.00,10.10.1.23,00:1A:2B:3C:01:17,2025-11-15
PC-024,Standard Zone,50.00,10.10.1.24,00:1A:2B:3C:01:18,2025-11-15
PC-025,Standard Zone,50.00,10.10.1.25,00:1A:2B:3C:01:19,2025-11-15
PC-026,Standard Zone,50.00,10.10.1.26,00:1A:2B:3C:01:1A,2025-11-15
PC-027,Standard Zone,50.00,10.10.1.27,00:1A:2B:3C:01:1B,2025-11-15
PC-028,Standard Zone,50.00,10.10.1.28,00:1A:2B:3C:01:1C,2025-11-15
PC-029,Standard Zone,50.00,10.10.1.29,00:1A:2B:3C:01:1D,2025-11-15
PC-030,Standard Zone,50.00,10.10.1.30,00:1A:2B:3C:01:1E,2025-11-15
PC-031,Standard Zone,50.00,10.10.1.31,00:1A:2B:3C:01:1F,2025-11-15
PC-032,Standard Zone,50.00,10.10.1.32,00:1A:2B:3C:01:20,2025-11-15
PC-033,Standard Zone,50.00,10.10.1.33,00:1A:2B:3C:01:21,2025-11-15
PC-034,Standard Zone,50.00,10.10.1.34,00:1A:2B:3C:01:22,2025-11-15
PC-035,Standard Zone,50.00,10.10.1.35,00:1A:2B:3C:01:23,2025-11-15
PC-036,Standard Zone,50.00,10.10.1.36,00:1A:2B:3C:01:24,2025-11-15
PC-037,Standard Zone,50.00,10.10.1.37,00:1A:2B:3C:01:25,2025-11-15
PC-038,Standard Zone,50.00,10.10.1.38,00:1A:2B:3C:01:26,2025-11-15
PC-039,Standard Zone,50.00,10.10.1.39,00:1A:2B:3C:01:27,2025-11-15
PC-040,Standard Zone,50.00,10.10.1.40,00:1A:2B:3C:01:28,2025-11-15
PC-041,Standard Zone,50.00,10.10.1.41,00:1A:2B:3C:01:29,2025-11-15
PC-042,Standard Zone,50.00,10.10.1.42,00:1A:2B:3C:01:2A,2025-11-15
PC-043,Standard Zone,50.00,10.10.1.43,00:1A:2B:3C:01:2B,2025-11-15
PC-044,Standard Zone,50.00,10.10.1.44,00:1A:2B:3C:01:2C,2025-11-15
PC-045,Standard Zone,50.00,10.10.1.45,00:1A:2B:3C:01:2D,2025-11-15
PC-046,Standard Zone,50.00,10.10.1.46,00:1A:2B:3C:01:2E,2025-11-15
PC-047,Standard Zone,50.00,10.10.1.47,00:1A:2B:3C:01:2F,2025-11-15
PC-048,Standard Zone,50.00,10.10.1.48,00:1A:2B:3C:01:30,2025-11-15
PC-049,Standard Zone,50.00,10.10.1.49,00:1A:2B:3C:01:31,2025-11-15
PC-050,Standard Zone,50.00,10.10.1.50,00:1A:2B:3C:01:32,2025-11-15
PC-051,Standard Zone,50.00,10.10.1.51,00:1A:2B:3C:01:33,2025-11-15
PC-052,Standard Zone,50.00,10.10.1.52,00:1A:2B:3C:01:34,2025-11-15
PC-053,Standard Zone,50.00,10.10.1.53,00:1A:2B:3C:01:35,2025-11-15
PC-054,Standard Zone,50.00,10.10.1.54,00:1A:2B:3C:01:36,2025-11-15
PC-055,Standard Zone,50.00,10.10.1.55,00:1A:2B:3C:01:37,2025-11-15
PC-056,Standard Zone,50.00,10.10.1.56,00:1A:2B:3C:01:38,2025-11-15
PC-057,Standard Zone,50.00,10.10.1.57,00:1A:2B:3C:01:39,2025-11-15
PC-058,Standard Zone,50.00,10.10.1.58,00:1A:2B:3C:01:3A,2025-11-15
PC-059,Standard Zone,50.00,10.10.1.59,00:1A:2B:3C:01:3B,2025-11-15
PC-060,Standard Zone,50.00,10.10.1.60,00:1A:2B:3C:01:3C,2025-11-15
PC-061,Standard Zone,50.00,10.10.1.61,00:1A:2B:3C:01:3D,2025-11-15
PC-062,Standard Zone,50.00,10.10.1.62,00:1A:2B:3C:01:3E,2025-11-15
PC-063,Standard Zone,50.00,10.10.1.63,00:1A:2B:3C:01:3F,2025-11-15
PC-064,Standard Zone,50.00,10.10.1.64,00:1A:2B:3C:01:40,2025-11-15
