ledger_id,member_id,source_reference_id,transaction_type,points_delta,resulting_balance,created_at
00964e5b-53bb-4afe-81d2-5d8a2d0c938e,M-1624,SESS-20260712-4896-0000,RENTAL_ACCRUAL,28,1053,2026-07-12T19:15:00+08:00
7a9ab4f8-973e-45b9-b903-ef6d566e9825,M-1092,SESS-20260712-1309-0001,RENTAL_ACCRUAL,25,278,2026-07-12T18:30:00+08:00
fbf29c94-e9fd-45c7-b98c-0eda728b41db,M-1401,SESS-20260712-4490-0002,RENTAL_ACCRUAL,5,58,2026-07-12T03:55:00+08:00
25486f12-2c37-4f3a-8e5f-ec3d49a961b6,M-1348,SESS-20260712-7232-0003,RENTAL_REDEMPTION,-100,111,2026-07-12T17:15:00+08:00
91bf2156-635d-4176-8d47-75b168381bf4,M-1348,SESS-20260712-7232-0003,RENTAL_ACCRUAL,3,114,2026-07-12T18:15:00+08:00
a181ba0f-0151-4b21-bf58-f15f7e26fb39,M-1192,SESS-20260712-7448-0004,RENTAL_ACCRUAL,5,179,2026-07-12T21:30:00+08:00
0d53c5c5-3c74-4266-ad02-07addb8e72cc,M-1331,SESS-20260712-6397-0005,RENTAL_ACCRUAL,5,163,2026-07-12T17:00:00+08:00
abc50083-0129-48ec-9754-57ba7e8373c5,M-1012,SESS-20260712-5170-0006,RENTAL_ACCRUAL,24,160,2026-07-12T19:45:00+08:00
2f7147dd-4330-45af-8632-20f986fb3039,M-1081,SESS-20260712-1884-0007,RENTAL_REDEMPTION,-100,337,2026-07-12T21:45:00+08:00
968dd131-739b-4dd0-8ffe-dc70b8c59fa8,M-1081,SESS-20260712-1884-0007,RENTAL_ACCRUAL,20,357,2026-07-12T23:45:00+08:00
bf957898-709a-44ac-bc65-622fb68bfe1c,M-1234,SESS-20260712-1783-0008,RENTAL_ACCRUAL,8,255,2026-07-12T19:30:00+08:00
ffc454e6-1942-4f7e-b58e-576b8077f44a,M-1285,SESS-20260712-6842-0009,RENTAL_ACCRUAL,40,104,2026-07-13T01:45:00+08:00
c9ab897b-170d-41dd-a588-ce7729cf58ae,M-1285,TIER_UPGRADE_Standard_TO_Silver,TIER_BONUS,50,154,2026-07-13T01:45:00+08:00
fb7860d3-e239-41c4-a014-807e7768e537,M-1334,SESS-20260712-4540-0010,RENTAL_ACCRUAL,5,79,2026-07-12T23:15:00+08:00
5863e4c6-2f15-4d0d-8d5c-82a1b9ee3ba5,M-1139,SESS-20260712-3074-0011,RENTAL_ACCRUAL,15,97,2026-07-12T22:45:00+08:00
e8ef6ea6-9856-4028-a627-803e716f3e84,M-1139,TIER_UPGRADE_Standard_TO_Silver,TIER_BONUS,50,147,2026-07-12T22:45:00+08:00
306bf275-af16-4aab-8d72-6270b942bf7d,M-1487,SESS-20260712-4307-0012,RENTAL_ACCRUAL,18,1226,2026-07-13T00:00:00+08:00
e8e4782e-f1c9-47de-a838-35be0a12e223,M-2100,SESS-20260712-2219-0013,RENTAL_ACCRUAL,24,102,2026-07-13T01:30:00+08:00
06460235-3dc4-431e-afbd-c6293eeefd9b,M-1287,SESS-20260712-8840-0014,RENTAL_ACCRUAL,36,184,2026-07-12T20:15:00+08:00
4a4ed9cf-b18d-4ffd-9320-bc330af6d15a,M-1841,SESS-20260712-2336-0015,RENTAL_ACCRUAL,24,232,2026-07-12T17:30:00+08:00
b835d135-3b45-408e-90cd-2cff726c7a91,M-1317,SESS-20260712-7753-0016,RENTAL_ACCRUAL,25,75,2026-07-12T20:45:00+08:00
6702e8fd-0453-4c93-bd25-3928cbe05a9a,M-1477,SESS-20260712-9327-0017,RENTAL_ACCRUAL,10,206,2026-07-13T01:45:00+08:00
fa203cea-1fe6-44ba-9a77-a97cf6f6a274,M-1627,SESS-20260712-9632-0018,RENTAL_ACCRUAL,108,273,2026-07-13T03:45:00+08:00
13a214e4-8402-4939-84bb-b3526602878f,M-1836,SESS-20260712-6264-0019,RENTAL_ACCRUAL,10,91,2026-07-12T08:00:00+08:00
51cfd451-cfc0-4aa6-ad57-3c2a3e2c7bc2,M-1277,SESS-20260712-9491-0020,RENTAL_ACCRUAL,28,2835,2026-07-12T14:30:00+08:00
47287e42-1d1d-49dd-ab04-27b7cc71815f,M-1255,SESS-20260712-3170-0021,RENTAL_REDEMPTION,-100,71,2026-07-12T20:00:00+08:00
075e5fb3-25e2-4c96-a043-2a8fe5be5f04,M-1255,SESS-20260712-3170-0021,RENTAL_ACCRUAL,5,76,2026-07-12T22:00:00+08:00
ac354af3-3008-4817-b63e-ad95e8f473ba,M-2000,SESS-20260712-4300-0022,RENTAL_ACCRUAL,40,119,2026-07-13T07:00:00+08:00
3ace24f0-d13a-48ce-9183-39c16be4ddff,M-1252,SESS-20260712-6354-0023,RENTAL_REDEMPTION,-200,473,2026-07-12T22:15:00+08:00
edd6b09b-4519-45f6-bec0-6bab444688c4,M-1252,SESS-20260712-6354-0023,RENTAL_ACCRUAL,4,477,2026-07-13T01:15:00+08:00
60df70bb-034f-4754-8508-bdd0680846c8,M-1021,SESS-20260712-3503-0024,RENTAL_ACCRUAL,27,775,2026-07-12T22:45:00+08:00
0050e907-f160-432f-be35-206b1b1f9f40,M-2017,SESS-20260712-2420-0025,RENTAL_ACCRUAL,5,10,2026-07-12T20:00:00+08:00
98d8806e-0afb-45e9-ad48-8760d592c033,M-1269,SESS-20260712-4383-0026,RENTAL_ACCRUAL,5,312,2026-07-12T18:00:00+08:00
000907a9-6349-4f4c-acba-6e3da1d65ad7,M-1008,SESS-20260712-5320-0027,RENTAL_REDEMPTION,-200,59,2026-07-12T19:45:00+08:00
1ff0b731-0495-426e-90e4-57a93af4389a,M-1008,SESS-20260712-5320-0027,RENTAL_ACCRUAL,4,63,2026-07-12T22:45:00+08:00
512bdd93-5811-41af-91f3-73279b4e5ab1,M-1529,SESS-20260712-1267-0028,RENTAL_REDEMPTION,-100,94,2026-07-12T20:00:00+08:00
227ad919-44b5-415d-9cfa-03f51ee1195e,M-1529,SESS-20260712-1267-0028,RENTAL_ACCRUAL,11,105,2026-07-12T22:00:00+08:00
b6173d52-eac7-4525-922f-0297dda2936e,M-1407,SESS-20260712-2898-0029,RENTAL_ACCRUAL,15,242,2026-07-12T19:45:00+08:00
7ea8eb9a-96f2-47d3-ae96-8e0f1d1cf5ae,M-1448,SESS-20260712-9845-0030,RENTAL_ACCRUAL,13,164,2026-07-12T12:00:00+08:00
9e63f7ee-4f51-445f-84f2-1dca115515df,M-1290,SESS-20260712-3710-0031,RENTAL_REDEMPTION,-200,74,2026-07-12T19:25:00+08:00
05a67be2-a201-4fab-be14-061f5c916cb4,M-1290,SESS-20260712-3710-0031,RENTAL_ACCRUAL,28,102,2026-07-12T22:25:00+08:00
2f615829-7ec9-48ea-9851-f407a0b6f28c,M-1957,SESS-20260712-1217-0032,RENTAL_ACCRUAL,10,104,2026-07-12T13:30:00+08:00
47624054-10f2-4bff-bf14-80345921132e,M-1532,SESS-20260712-8300-0033,RENTAL_ACCRUAL,15,289,2026-07-13T01:50:00+08:00
5b6c6695-f7d0-4adb-91ee-ea079913dc87,M-1769,SESS-20260712-4181-0034,RENTAL_ACCRUAL,16,277,2026-07-12T22:00:00+08:00
