order_item_id,purchase_id,item_sku,quantity,unit_price,total_price
ITEM-20260716-4974-0001-01,ORD-20260716-4974-0001,SKU-BEV-04,1,85.00,85.00
ITEM-20260717-7049-0002-01,ORD-20260717-7049-0002,SKU-BEV-02,1,90.00,90.00
ITEM-20260717-7049-0002-02,ORD-20260717-7049-0002,SKU-ACC-01,2,25.00,50.00
ITEM-20260716-5682-0003-01,ORD-20260716-5682-0003,SKU-BEV-01,2,65.00,130.00
ITEM-20260716-2937-0004-01,ORD-20260716-2937-0004,SKU-SNK-04,1,60.00,60.00
ITEM-20260717-8437-0005-01,ORD-20260717-8437-0005,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-7090-0006-01,ORD-20260716-7090-0006,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-7090-0006-02,ORD-20260716-7090-0006,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-9918-0007-01,ORD-20260716-9918-0007,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-9918-0007-02,ORD-20260716-9918-0007,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-2613-0008-01,ORD-20260716-2613-0008,SKU-SNK-04,1,60.00,60.00
ITEM-20260716-2613-0008-02,ORD-20260716-2613-0008,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-8656-0009-01,ORD-20260716-8656-0009,SKU-SNK-04,1,60.00,60.00
ITEM-20260716-8656-0009-02,ORD-20260716-8656-0009,SKU-SNK-02,1,135.00,135.00
ITEM-20260717-3264-0010-01,ORD-20260717-3264-0010,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-3292-0011-01,ORD-20260716-3292-0011,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-4415-0012-01,ORD-20260716-4415-0012,SKU-SNK-04,1,60.00,60.00
ITEM-20260716-6930-0013-01,ORD-20260716-6930-0013,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-3453-0014-01,ORD-20260716-3453-0014,SKU-BEV-03,2,30.00,60.00
ITEM-20260716-2350-0015-01,ORD-20260716-2350-0015,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-2350-0015-02,ORD-20260716-2350-0015,SKU-SNK-03,2,75.00,150.00
ITEM-20260716-9888-0016-01,ORD-20260716-9888-0016,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-1188-0017-01,ORD-20260716-1188-0017,SKU-SNK-03,1,75.00,75.00
ITEM-20260716-1188-0017-02,ORD-20260716-1188-0017,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-9475-0018-01,ORD-20260716-9475-0018,SKU-SNK-03,1,75.00,75.00
ITEM-20260716-9475-0018-02,ORD-20260716-9475-0018,SKU-SNK-04,2,60.00,120.00
ITEM-20260716-8124-0019-01,ORD-20260716-8124-0019,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-8124-0019-02,ORD-20260716-8124-0019,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-3056-0020-01,ORD-20260716-3056-0020,SKU-BEV-01,1,65.00,65.00
ITEM-20260717-4464-0021-01,ORD-20260717-4464-0021,SKU-BEV-04,1,85.00,85.00
ITEM-20260717-4464-0021-02,ORD-20260717-4464-0021,SKU-ACC-01,1,25.00,25.00
ITEM-20260716-1336-0022-01,ORD-20260716-1336-0022,SKU-BEV-03,1,30.00,30.00
ITEM-20260716-1336-0022-02,ORD-20260716-1336-0022,SKU-SNK-01,2,120.00,240.00
ITEM-20260716-7572-0023-01,ORD-20260716-7572-0023,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-8224-0024-01,ORD-20260716-8224-0024,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-8224-0024-02,ORD-20260716-8224-0024,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-8224-0024-03,ORD-20260716-8224-0024,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-9599-0025-01,ORD-20260716-9599-0025,SKU-BEV-03,2,30.00,60.00
ITEM-20260716-9073-0026-01,ORD-20260716-9073-0026,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-7794-0027-01,ORD-20260716-7794-0027,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-4642-0028-01,ORD-20260716-4642-0028,SKU-BEV-01,1,65.00,65.00
ITEM-20260717-6016-0029-01,ORD-20260717-6016-0029,SKU-SNK-01,2,120.00,240.00
ITEM-20260717-6016-0029-02,ORD-20260717-6016-0029,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-6416-0030-01,ORD-20260716-6416-0030,SKU-SNK-03,1,75.00,75.00
ITEM-20260717-3968-0031-01,ORD-20260717-3968-0031,SKU-SNK-01,2,120.00,240.00
ITEM-20260717-6617-0032-01,ORD-20260717-6617-0032,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-2206-0033-01,ORD-20260716-2206-0033,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-2206-0033-02,ORD-20260716-2206-0033,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-2206-0033-03,ORD-20260716-2206-0033,SKU-ACC-02,1,180.00,180.00
ITEM-20260716-9493-0034-01,ORD-20260716-9493-0034,SKU-BEV-03,2,30.00,60.00
ITEM-20260716-9493-0034-02,ORD-20260716-9493-0034,SKU-BEV-02,2,90.00,180.00
ITEM-20260716-9310-0035-01,ORD-20260716-9310-0035,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-3104-0036-01,ORD-20260716-3104-0036,SKU-SNK-01,1,120.00,120.00
ITEM-20260717-3170-0037-01,ORD-20260717-3170-0037,SKU-BEV-04,1,85.00,85.00
ITEM-20260716-8130-0038-01,ORD-20260716-8130-0038,SKU-SNK-02,1,135.00,135.00
ITEM-20260716-8505-0039-01,ORD-20260716-8505-0039,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-1552-0040-01,ORD-20260716-1552-0040,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-1552-0040-02,ORD-20260716-1552-0040,SKU-BEV-04,2,85.00,170.00
ITEM-20260716-5082-0041-01,ORD-20260716-5082-0041,SKU-SNK-03,2,75.00,150.00
ITEM-20260716-4691-0042-01,ORD-20260716-4691-0042,SKU-SNK-02,1,135.00,135.00
ITEM-20260716-4691-0042-02,ORD-20260716-4691-0042,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-6495-0043-01,ORD-20260716-6495-0043,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-6495-0043-02,ORD-20260716-6495-0043,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-6495-0043-03,ORD-20260716-6495-0043,SKU-BEV-01,2,65.00,130.00
ITEM-20260716-2304-0044-01,ORD-20260716-2304-0044,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-8500-0045-01,ORD-20260716-8500-0045,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-8500-0045-02,ORD-20260716-8500-0045,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-8134-0046-01,ORD-20260716-8134-0046,SKU-BEV-03,1,30.00,30.00
ITEM-20260716-8134-0046-02,ORD-20260716-8134-0046,SKU-BEV-01,2,65.00,130.00
ITEM-20260717-8540-0047-01,ORD-20260717-8540-0047,SKU-BEV-03,1,30.00,30.00
ITEM-20260717-8540-0047-02,ORD-20260717-8540-0047,SKU-SNK-01,1,120.00,120.00
ITEM-20260717-9581-0048-01,ORD-20260717-9581-0048,SKU-BEV-02,1,90.00,90.00
ITEM-20260717-8573-0049-01,ORD-20260717-8573-0049,SKU-SNK-03,2,75.00,150.00
ITEM-20260717-8573-0049-02,ORD-20260717-8573-0049,SKU-BEV-03,1,30.00,30.00
ITEM-20260716-4247-0050-01,ORD-20260716-4247-0050,SKU-SNK-04,1,60.00,60.00
ITEM-20260716-4247-0050-02,ORD-20260716-4247-0050,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-6233-0051-01,ORD-20260716-6233-0051,SKU-SNK-02,2,135.00,270.00
ITEM-20260716-3099-0052-01,ORD-20260716-3099-0052,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-3099-0052-02,ORD-20260716-3099-0052,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-1946-0053-01,ORD-20260716-1946-0053,SKU-BEV-01,2,65.00,130.00
ITEM-20260716-9312-0054-01,ORD-20260716-9312-0054,SKU-BEV-02,2,90.00,180.00
ITEM-20260716-3669-0055-01,ORD-20260716-3669-0055,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-9119-0056-01,ORD-20260716-9119-0056,SKU-BEV-03,2,30.00,60.00
ITEM-20260716-9119-0056-02,ORD-20260716-9119-0056,SKU-BEV-01,1,65.00,65.00
ITEM-20260716-4801-0057-01,ORD-20260716-4801-0057,SKU-BEV-03,1,30.00,30.00
ITEM-20260717-7597-0058-01,ORD-20260717-7597-0058,SKU-BEV-02,1,90.00,90.00
ITEM-20260717-7597-0058-02,ORD-20260717-7597-0058,SKU-BEV-03,2,30.00,60.00
ITEM-20260716-9698-0059-01,ORD-20260716-9698-0059,SKU-BEV-03,1,30.00,30.00
ITEM-20260716-8697-0060-01,ORD-20260716-8697-0060,SKU-BEV-02,2,90.00,180.00
ITEM-20260716-8168-0061-01,ORD-20260716-8168-0061,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-4163-0062-01,ORD-20260716-4163-0062,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-4163-0062-02,ORD-20260716-4163-0062,SKU-BEV-03,1,30.00,30.00
ITEM-20260717-5766-0063-01,ORD-20260717-5766-0063,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-4117-0064-01,ORD-20260716-4117-0064,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-5850-0065-01,ORD-20260716-5850-0065,SKU-BEV-02,2,90.00,180.00
ITEM-20260716-9295-0066-01,ORD-20260716-9295-0066,SKU-SNK-01,1,120.00,120.00
ITEM-20260716-1951-0067-01,ORD-20260716-1951-0067,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-9216-0068-01,ORD-20260716-9216-0068,SKU-BEV-02,1,90.00,90.00
ITEM-20260716-4051-0069-01,ORD-20260716-4051-0069,SKU-SNK-03,1,75.00,75.00
ITEM-20260716-4051-0069-02,ORD-20260716-4051-0069,SKU-BEV-01,1,65.00,65.00
