purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260805-4756-0149,M-1025,SESS-20260805-6685-0028,30.00,3,Maya,2026-08-05T01:39:21+08:00
ORD-20260805-4024-0254,M-1461,SESS-20260805-3628-0027,210.00,26,Cash,2026-08-05T02:10:53+08:00
ORD-20260805-8173-0048,M-1422,SESS-20260805-7554-0023,75.00,9,GCash,2026-08-05T05:17:30+08:00
ORD-20260805-7139-0128,M-1542,SESS-20260805-5519-0170,75.00,9,GCash,2026-08-05T06:05:17+08:00
ORD-20260805-8686-0076,M-1896,SESS-20260805-2688-0308,165.00,16,Maya,2026-08-05T07:40:49+08:00
ORD-20260805-6496-0256,M-1707,SESS-20260805-3318-0317,200.00,30,Cash,2026-08-05T08:40:27+08:00
ORD-20260805-5815-0155,M-1374,SESS-20260805-4658-0034,300.00,37,GCash,2026-08-05T08:45:36+08:00
ORD-20260805-1559-0139,M-1874,SESS-20260805-9145-0411,185.00,18,GCash,2026-08-05T08:54:27+08:00
ORD-20260805-2769-0336,M-1472,,65.00,8,Credit Card,2026-08-05T09:22:00+08:00
ORD-20260805-6590-0322,M-1825,,190.00,23,GCash,2026-08-05T09:35:00+08:00
ORD-20260805-8699-0174,M-1939,SESS-20260805-4395-0089,60.00,6,GCash,2026-08-05T09:37:15+08:00
ORD-20260805-7767-0284,M-1025,,75.00,9,GCash,2026-08-05T09:45:00+08:00
ORD-20260805-7837-0339,M-2169,,120.00,15,Cash,2026-08-05T10:01:00+08:00
ORD-20260805-4339-0320,M-1818,,65.00,8,Cash,2026-08-05T10:07:00+08:00
ORD-20260805-8244-0006,M-1932,SESS-20260805-4970-0234,75.00,7,Maya,2026-08-05T10:16:57+08:00
ORD-20260805-4584-0100,M-1737,SESS-20260805-9416-0158,65.00,8,GCash,2026-08-05T10:17:41+08:00
ORD-20260805-8885-0311,M-2152,,120.00,12,GCash,2026-08-05T10:19:00+08:00
ORD-20260805-7026-0014,M-1790,SESS-20260805-3054-0315,85.00,10,Maya,2026-08-05T10:30:04+08:00
ORD-20260805-7619-0259,M-1021,,135.00,20,GCash,2026-08-05T10:44:00+08:00
ORD-20260805-6396-0028,M-1091,SESS-20260805-3888-0025,90.00,11,Cash,2026-08-05T10:48:12+08:00
ORD-20260805-9175-0271,M-1557,,30.00,3,Credit Card,2026-08-05T10:51:00+08:00
ORD-20260805-5262-0234,M-1318,SESS-20260805-1072-0263,220.00,27,GCash,2026-08-05T10:58:21+08:00
ORD-20260805-8269-0315,M-1536,,90.00,11,Maya,2026-08-05T11:00:00+08:00
ORD-20260805-4251-0091,M-1109,SESS-20260805-2546-0176,120.00,15,GCash,2026-08-05T11:00:59+08:00
ORD-20260805-4243-0302,M-1055,,135.00,16,GCash,2026-08-05T11:02:00+08:00
ORD-20260805-1681-0298,M-1570,,90.00,13,Maya,2026-08-05T11:06:00+08:00
ORD-20260805-2222-0313,M-1083,,195.00,24,GCash,2026-08-05T11:07:00+08:00
ORD-20260805-1148-0059,M-1597,SESS-20260805-3792-0088,200.00,25,GCash,2026-08-05T11:31:03+08:00
ORD-20260805-9212-0258,M-1037,,180.00,27,Cash,2026-08-05T11:32:00+08:00
ORD-20260805-8005-0263,M-1302,,75.00,9,GCash,2026-08-05T11:42:00+08:00
ORD-20260805-1435-0342,M-2143,,205.00,20,GCash,2026-08-05T11:59:00+08:00
ORD-20260805-9167-0287,M-1973,,135.00,13,Maya,2026-08-05T12:14:00+08:00
ORD-20260805-8857-0029,M-1407,SESS-20260805-2070-0005,280.00,35,GCash,2026-08-05T12:19:49+08:00
ORD-20260805-1116-0337,M-1021,,65.00,9,Cash,2026-08-05T12:23:00+08:00
ORD-20260805-7430-0319,M-1564,,85.00,10,GCash,2026-08-05T12:29:00+08:00
ORD-20260805-7833-0293,M-2035,,85.00,10,Cash,2026-08-05T12:33:00+08:00
ORD-20260805-2631-0335,M-1133,,145.00,21,Cash,2026-08-05T12:33:00+08:00
ORD-20260805-2261-0273,M-1949,,65.00,6,Credit Card,2026-08-05T12:55:00+08:00
ORD-20260805-2165-0303,M-1393,,85.00,10,Credit Card,2026-08-05T12:55:00+08:00
ORD-20260805-7511-0285,M-1696,,120.00,18,GCash,2026-08-05T12:59:00+08:00
ORD-20260805-5098-0192,M-1895,SESS-20260805-5618-0235,65.00,8,GCash,2026-08-05T13:05:41+08:00
ORD-20260805-4820-0236,M-1056,SESS-20260805-2075-0066,135.00,16,GCash,2026-08-05T13:13:51+08:00
ORD-20260805-8776-0264,M-1295,,115.00,14,GCash,2026-08-05T13:16:00+08:00
ORD-20260805-4009-0288,M-2159,,60.00,7,Cash,2026-08-05T13:31:00+08:00
ORD-20260805-2641-0251,M-2099,SESS-20260805-1217-0204,90.00,9,Maya,2026-08-05T13:33:34+08:00
ORD-20260805-8717-0308,M-1543,,155.00,19,Cash,2026-08-05T13:37:00+08:00
ORD-20260805-1302-0217,M-1196,SESS-20260805-6894-0319,90.00,11,Maya,2026-08-05T13:37:34+08:00
ORD-20260805-4606-0295,M-2013,,285.00,28,GCash,2026-08-05T13:47:00+08:00
ORD-20260805-6779-0235,M-1374,SESS-20260805-1971-0097,65.00,8,Credit Card,2026-08-05T13:49:18+08:00
ORD-20260805-3926-0237,M-1264,SESS-20260805-4178-0353,90.00,11,GCash,2026-08-05T13:50:04+08:00
ORD-20260805-2950-0077,M-1543,SESS-20260805-1303-0057,180.00,22,GCash,2026-08-05T13:50:46+08:00
ORD-20260805-7686-0248,M-1806,SESS-20260805-1395-0029,170.00,21,GCash,2026-08-05T13:59:36+08:00
ORD-20260805-8660-0216,M-1756,SESS-20260805-7375-0359,65.00,9,Cash,2026-08-05T14:01:12+08:00
ORD-20260805-3473-0343,M-1411,,60.00,9,GCash,2026-08-05T14:03:00+08:00
