rental_id,member_id,workstation_id,session_start,session_end,duration_hours,base_hourly_rate,member_tier_applied,tier_discount_pct,final_hourly_rate,gross_rental_amount,points_redeemed,points_credit_value,net_amount_paid,points_accrued,payment_method
SESS-20260830-7729-0266,M-1644,PC-147,2026-08-30T02:30:00+08:00,2026-08-30T03:30:00+08:00,1.00,80.00,Silver,0.10,72.00,72.00,0,0.00,72.00,9,Credit Card
SESS-20260830-4180-0047,M-2165,PC-052,2026-08-30T03:15:00+08:00,2026-08-30T08:15:00+08:00,5.00,50.00,Standard,0.00,50.00,250.00,100,50.00,200.00,20,GCash
SESS-20260830-1136-0236,M-1823,PC-047,2026-08-30T04:00:00+08:00,2026-08-30T07:00:00+08:00,3.00,50.00,Gold,0.20,40.00,120.00,0,0.00,120.00,18,Credit Card
SESS-20260830-1847-0162,M-1605,PC-124,2026-08-30T04:30:00+08:00,2026-08-30T07:30:00+08:00,3.00,80.00,Silver,0.10,72.00,216.00,0,0.00,216.00,27,GCash
SESS-20260830-3733-0013,M-1335,PC-017,2026-08-30T04:45:00+08:00,2026-08-30T07:45:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,100,50.00,85.00,10,Cash
SESS-20260830-8388-0195,M-1386,PC-074,2026-08-30T05:15:00+08:00,2026-08-30T10:15:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,GCash
SESS-20260830-5666-0267,M-1975,PC-077,2026-08-30T05:30:00+08:00,2026-08-30T07:30:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,100,50.00,40.00,5,Cash
SESS-20260830-9297-0034,M-1571,PC-012,2026-08-30T06:15:00+08:00,2026-08-30T08:15:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260830-7568-0339,M-1012,PC-105,2026-08-30T06:30:00+08:00,2026-08-30T07:30:00+08:00,1.00,80.00,Silver,0.10,72.00,72.00,0,0.00,72.00,9,Cash
SESS-20260830-3390-0085,M-1834,PC-094,2026-08-30T07:30:00+08:00,2026-08-30T08:30:00+08:00,1.00,50.00,Gold,0.20,40.00,40.00,0,0.00,40.00,6,GCash
SESS-20260830-6108-0020,M-1657,PC-049,2026-08-30T08:00:00+08:00,2026-08-30T11:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,200,100.00,35.00,4,Cash
SESS-20260830-1158-0070,M-1934,PC-080,2026-08-30T08:15:00+08:00,2026-08-30T13:15:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,Maya
SESS-20260830-4773-0090,M-1398,PC-083,2026-08-30T08:15:00+08:00,2026-08-30T11:15:00+08:00,3.00,50.00,Gold,0.20,40.00,120.00,0,0.00,120.00,18,Maya
SESS-20260830-5555-0200,M-1248,PC-095,2026-08-30T08:15:00+08:00,2026-08-30T09:15:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,GCash
SESS-20260830-2387-0221,M-1600,PC-075,2026-08-30T08:45:00+08:00,2026-08-30T09:45:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,Maya
SESS-20260830-9819-0035,M-1695,PC-093,2026-08-30T09:00:00+08:00,2026-08-30T12:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,GCash
SESS-20260830-7617-0163,M-1985,PC-029,2026-08-30T09:00:00+08:00,2026-08-30T12:00:00+08:00,3.00,50.00,Standard,0.00,50.00,150.00,0,0.00,150.00,15,Cash
SESS-20260830-9592-0021,M-1540,PC-076,2026-08-30T09:15:00+08:00,2026-08-30T14:15:00+08:00,5.00,50.00,Gold,0.20,40.00,200.00,0,0.00,200.00,30,Maya
SESS-20260830-9819-0387,M-2158,PC-109,2026-08-30T09:15:00+08:00,2026-08-30T10:15:00+08:00,1.00,80.00,Standard,0.00,80.00,80.00,100,50.00,30.00,3,GCash
SESS-20260830-7454-0126,M-1102,PC-151,2026-08-30T09:30:00+08:00,2026-08-30T10:30:00+08:00,1.00,120.00,Silver,0.10,108.00,108.00,0,0.00,108.00,13,Cash
SESS-20260830-3394-0239,M-1996,PC-164,2026-08-30T09:30:00+08:00,2026-08-30T11:30:00+08:00,2.00,120.00,Standard,0.00,120.00,240.00,0,0.00,240.00,24,Maya
SESS-20260830-4001-0004,M-1003,PC-086,2026-08-30T10:00:00+08:00,2026-08-30T12:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Maya
SESS-20260830-3718-0038,M-1399,PC-040,2026-08-30T10:00:00+08:00,2026-08-30T11:00:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,Cash
SESS-20260830-6475-0177,M-1960,PC-113,2026-08-30T10:00:00+08:00,2026-08-30T15:00:00+08:00,5.00,80.00,Silver,0.10,72.00,360.00,0,0.00,360.00,45,GCash
SESS-20260830-3901-0007,M-1835,PC-009,2026-08-30T10:15:00+08:00,2026-08-30T18:15:00+08:00,8.00,50.00,Gold,0.20,40.00,320.00,0,0.00,320.00,48,Cash
SESS-20260830-2133-0071,M-2117,PC-169,2026-08-30T10:15:00+08:00,2026-08-30T13:15:00+08:00,3.00,120.00,Standard,0.00,120.00,360.00,100,50.00,310.00,31,GCash
SESS-20260830-1914-0300,M-1678,PC-013,2026-08-30T10:15:00+08:00,2026-08-30T13:15:00+08:00,3.00,50.00,Gold,0.20,40.00,120.00,0,0.00,120.00,18,GCash
SESS-20260830-4682-0219,M-1837,PC-160,2026-08-30T10:30:00+08:00,2026-08-30T12:30:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,Cash
SESS-20260830-6034-0211,M-1288,PC-151,2026-08-30T10:35:00+08:00,2026-08-30T12:35:00+08:00,2.00,120.00,Gold,0.20,96.00,192.00,0,0.00,192.00,28,Cash
SESS-20260830-4883-0052,M-1241,PC-048,2026-08-30T11:00:00+08:00,2026-08-30T14:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,GCash
SESS-20260830-3472-0323,M-2156,PC-047,2026-08-30T11:15:00+08:00,2026-08-30T13:15:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Cash
SESS-20260830-6447-0113,M-1100,PC-020,2026-08-30T11:30:00+08:00,2026-08-30T12:30:00+08:00,1.00,50.00,Gold,0.20,40.00,40.00,0,0.00,40.00,6,GCash
SESS-20260830-8832-0270,M-1628,PC-164,2026-08-30T11:40:00+08:00,2026-08-30T13:40:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,Maya
SESS-20260830-7832-0183,M-1728,PC-081,2026-08-30T12:00:00+08:00,2026-08-30T14:00:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,0,0.00,80.00,12,Cash
SESS-20260830-4653-0014,M-1233,PC-152,2026-08-30T12:15:00+08:00,2026-08-30T14:15:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,Cash
SESS-20260830-7564-0025,M-1099,PC-130,2026-08-30T12:15:00+08:00,2026-08-30T14:15:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Maya
SESS-20260830-3873-0044,M-1377,PC-107,2026-08-30T12:15:00+08:00,2026-08-30T14:15:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Cash
SESS-20260830-1519-0142,M-1445,PC-040,2026-08-30T12:15:00+08:00,2026-08-30T15:15:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,Maya
SESS-20260830-2633-0164,M-1982,PC-153,2026-08-30T12:15:00+08:00,2026-08-30T15:15:00+08:00,3.00,120.00,Standard,0.00,120.00,360.00,0,0.00,360.00,36,GCash
SESS-20260830-1923-0332,M-1914,PC-131,2026-08-30T12:15:00+08:00,2026-08-30T20:15:00+08:00,8.00,80.00,Standard,0.00,80.00,640.00,100,50.00,590.00,59,GCash
SESS-20260830-3369-0042,M-2078,PC-003,2026-08-30T12:30:00+08:00,2026-08-30T14:30:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,GCash
SESS-20260830-8992-0180,M-1394,PC-162,2026-08-30T12:30:00+08:00,2026-08-30T15:30:00+08:00,3.00,120.00,Silver,0.10,108.00,324.00,0,0.00,324.00,40,Cash
SESS-20260830-5515-0322,M-1405,PC-160,2026-08-30T12:40:00+08:00,2026-08-30T14:40:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,GCash
SESS-20260830-3386-0292,M-1803,PC-012,2026-08-30T12:45:00+08:00,2026-08-30T15:45:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,100,50.00,85.00,10,Maya
SESS-20260830-5250-0119,M-1713,PC-079,2026-08-30T13:00:00+08:00,2026-08-30T21:00:00+08:00,8.00,50.00,Gold,0.20,40.00,320.00,0,0.00,320.00,48,GCash
SESS-20260830-3632-0199,M-2186,PC-001,2026-08-30T13:00:00+08:00,2026-08-30T16:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,Cash
SESS-20260830-6968-0220,M-1680,PC-006,2026-08-30T13:00:00+08:00,2026-08-30T14:00:00+08:00,1.00,50.00,Gold,0.20,40.00,40.00,0,0.00,40.00,6,GCash
SESS-20260830-4542-0402,M-1496,PC-094,2026-08-30T13:00:00+08:00,2026-08-30T14:00:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,GCash
SESS-20260830-2219-0081,M-1388,PC-099,2026-08-30T13:15:00+08:00,2026-08-30T16:15:00+08:00,3.00,50.00,Gold,0.20,40.00,120.00,0,0.00,120.00,18,GCash
SESS-20260830-4232-0161,M-1759,PC-034,2026-08-30T13:15:00+08:00,2026-08-30T14:15:00+08:00,1.00,50.00,Gold,0.20,40.00,40.00,0,0.00,40.00,6,Maya
SESS-20260830-4557-0377,M-1617,PC-024,2026-08-30T13:15:00+08:00,2026-08-30T18:15:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,Maya
SESS-20260830-6223-0250,M-1661,PC-125,2026-08-30T13:30:00+08:00,2026-08-30T16:30:00+08:00,3.00,80.00,Gold,0.20,64.00,192.00,0,0.00,192.00,28,GCash
SESS-20260830-6205-0031,M-1174,PC-010,2026-08-30T13:45:00+08:00,2026-08-30T15:45:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260830-9737-0179,M-1173,PC-029,2026-08-30T13:45:00+08:00,2026-08-30T15:45:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,100,50.00,30.00,4,GCash
SESS-20260830-8632-0405,M-1626,PC-077,2026-08-30T14:00:00+08:00,2026-08-30T16:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Maya
